genus,counts
Inga,101
Cordia,93
Cecropia,86
Banara,51
Vismia,36
Tapirira,35
Jacaranda,25
Rollinia,20
Attalea,16
Pterocarpus,15
Thyrsodium,13
Apeiba,12
Schizolobium,11
Bellucia,11
Pouteria,10
Bagassa,10
Nectandra,10
Stryphnodendron,9
Bertholletia,9
Xylopia,7
Miconia,6
Dulacia,6
Siparuna,6
Eriotheca,6
Sapium,6
Schefflera,5
Casearia,5
Neea,5
Eschweilera,5
Bixa,5
Couratari,5
Brosimum,5
Ryania,4
Couepia,4
Rinorea,4
Jacaratia,4
Talisia,4
Apuleia,4
Perebea,4
Quiina,3
Sorocea,3
Sloanea,3
Drypetes,2
Eugenia,2
Theobroma,2
Dinizia,2
Poecilanthe,2
Cupania,2
Triplaris,2
Aspidosperma,2
Parkia,1
Himatanthus,1
Psidium,1
Naucleopsis,1
Licania,1
Trichilia,1
Cedrela,1
Astrocaryum,1
Couma,1
Simarouba,1
Swartzia,1
Mangifera,1
Vataireopsis,1
Otoba,1
Virola,1
Vatairea,1
Caryocar,1
Dialium,1
Minquartia,1
Mezilaurus,1
Carica,1
Coccoloba,1
Rinoreocarpus,1
Terminalia,1
Aegiphila,1
Dipteryx,1